Sample	Tissue	Donor	Gender
GTEX.1117F.0226.SM.5GZZ7	Subcutaneous	GTEX.1117F	Female
GTEX.1117F.1326.SM.5EGHH	Visceral	GTEX.1117F	Female
GTEX.111CU.1026.SM.5EGIL	Visceral	GTEX.111CU	Male
GTEX.111CU.1826.SM.5GZYN	Subcutaneous	GTEX.111CU	Male
GTEX.111FC.0226.SM.5N9B8	Subcutaneous	GTEX.111FC	Male
GTEX.111VG.2326.SM.5N9BK	Subcutaneous	GTEX.111VG	Male
GTEX.111YS.1326.SM.5EGGK	Visceral	GTEX.111YS	Male
GTEX.111YS.2426.SM.5GZZQ	Subcutaneous	GTEX.111YS	Male
GTEX.1122O.0926.SM.9YFLC	Visceral	GTEX.1122O	Female
GTEX.1122O.2026.SM.9YFMG	Subcutaneous	GTEX.1122O	Female
GTEX.1128S.0926.SM.5GZZU	Visceral	GTEX.1128S	Female
GTEX.1128S.2126.SM.5H12U	Subcutaneous	GTEX.1128S	Female
GTEX.113IC.0226.SM.5HL5C	Subcutaneous	GTEX.113IC	Male
GTEX.113JC.0726.SM.5GZZR	Visceral	GTEX.113JC	Female
GTEX.117YW.0826.SM.5H11O	Visceral	GTEX.117YW	Male
GTEX.117YX.0726.SM.5GIET	Visceral	GTEX.117YX	Male
GTEX.117YX.2226.SM.5EGJJ	Subcutaneous	GTEX.117YX	Male
GTEX.1192X.1526.SM.5H11I	Visceral	GTEX.1192X	Male
GTEX.11DXW.0326.SM.5H11W	Subcutaneous	GTEX.11DXW	Male
GTEX.11DXX.2026.SM.5EGJL	Visceral	GTEX.11DXX	Female
GTEX.11DXX.2326.SM.9YFKS	Subcutaneous	GTEX.11DXX	Female
GTEX.11DXY.0326.SM.5H12F	Visceral	GTEX.11DXY	Male
GTEX.11DXZ.1426.SM.5H12A	Visceral	GTEX.11DXZ	Male
GTEX.11DYG.2026.SM.5EGGX	Visceral	GTEX.11DYG	Male
GTEX.11DZ1.0226.SM.5A5KF	Subcutaneous	GTEX.11DZ1	Male
GTEX.11EI6.0226.SM.5EQ64	Subcutaneous	GTEX.11EI6	Male
GTEX.11EM3.1126.SM.5A5KM	Visceral	GTEX.11EM3	Female
GTEX.11EM3.2326.SM.5H12B	Subcutaneous	GTEX.11EM3	Female
GTEX.11EMC.2826.SM.5PNY6	Subcutaneous	GTEX.11EMC	Female
GTEX.11EQ8.0226.SM.5EQ5G	Subcutaneous	GTEX.11EQ8	Male
GTEX.11EQ9.1126.SM.5987I	Visceral	GTEX.11EQ9	Male
GTEX.11EQ9.2526.SM.5HL66	Subcutaneous	GTEX.11EQ9	Male
GTEX.11GS4.1026.SM.5N9DE	Visceral	GTEX.11GS4	Male
GTEX.11GS4.2626.SM.5A5LD	Subcutaneous	GTEX.11GS4	Male
GTEX.11GSO.0226.SM.5A5LV	Visceral	GTEX.11GSO	Male
GTEX.11GSO.2326.SM.5A5LX	Subcutaneous	GTEX.11GSO	Male
GTEX.11GSP.1026.SM.9WYSH	Visceral	GTEX.11GSP	Female
GTEX.11H98.0226.SM.5NQ89	Subcutaneous	GTEX.11H98	Male
GTEX.11I78.0226.SM.5HL6R	Visceral	GTEX.11I78	Female
GTEX.11I78.2626.SM.5Q5AI	Subcutaneous	GTEX.11I78	Female
GTEX.11LCK.0326.SM.5A5M7	Visceral	GTEX.11LCK	Male
GTEX.11LCK.1126.SM.5A5KC	Subcutaneous	GTEX.11LCK	Male
GTEX.11NUK.0326.SM.5HL5K	Subcutaneous	GTEX.11NUK	Male
GTEX.11NUK.2026.SM.5PNVZ	Visceral	GTEX.11NUK	Male
GTEX.11NV4.1426.SM.5BC4W	Visceral	GTEX.11NV4	Male
GTEX.11O72.0226.SM.59869	Subcutaneous	GTEX.11O72	Male
GTEX.11OF3.0826.SM.5BC51	Visceral	GTEX.11OF3	Male
GTEX.11OF3.2426.SM.5Q5AS	Subcutaneous	GTEX.11OF3	Male
GTEX.11ONC.2526.SM.5986W	Subcutaneous	GTEX.11ONC	Male
GTEX.11P7K.0826.SM.5BC5F	Visceral	GTEX.11P7K	Male
GTEX.11P7K.2026.SM.5GU74	Subcutaneous	GTEX.11P7K	Male
GTEX.11P81.0726.SM.5PNYH	Visceral	GTEX.11P81	Female
GTEX.11P81.2426.SM.5GU65	Subcutaneous	GTEX.11P81	Female
